participant_id,lh_bankssts_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_transversetemporal_thickness,lh_insula_thickness,lh_MeanThickness_thickness,BrainSegVolNotVent,eTIV,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness
sub-CC110033,2.529,2.4019999999999997,2.7739999999999996,1.7209999999999999,3.6439999999999997,2.891,2.481,2.9139999999999997,2.267,2.2359999999999998,2.872,2.032,2.458,3.112,2.975,2.617,2.6889999999999996,2.68,2.504,1.337,2.2840000000000003,2.613,2.7939999999999996,2.5639999999999996,3.042,2.472,2.9560000000000004,2.3369999999999997,2.963,2.802,2.7889999999999997,3.5639999999999996,2.6639999999999997,3.1630000000000003,2.61585,1154889.0,1550780.4128299998,2.568,2.467,2.614,1.8969999999999998,3.383,2.918,2.536,3.04,2.339,2.315,2.891,2.056,2.565,3.1319999999999997,3.0210000000000004,2.647,2.813,2.805,2.655,1.403,2.176,2.4459999999999997,2.721,2.544,2.8160000000000003,2.48,2.91,2.256,3.042,2.675,2.717,3.782,2.565,3.179,2.61175
sub-CC110037,2.44,3.1689999999999996,2.6260000000000003,1.676,3.0810000000000004,2.845,2.406,2.8989999999999996,2.8810000000000002,2.207,2.762,1.989,2.4530000000000003,2.906,2.822,2.522,2.5540000000000003,2.627,2.549,1.624,2.0340000000000003,2.59,2.7030000000000003,2.532,3.44,2.37,2.9130000000000003,2.259,2.967,2.583,2.623,3.364,2.517,3.022,2.56225,1167579.0,1509475.8096200002,2.7960000000000003,2.617,2.622,1.8780000000000001,3.511,2.782,2.5380000000000003,3.045,2.463,2.3080000000000003,2.8480000000000003,2.03,2.468,2.972,2.7119999999999997,2.636,2.6889999999999996,2.676,2.49,1.66,2.002,2.5660000000000003,2.647,2.418,3.0069999999999997,2.3480000000000003,2.844,2.25,2.87,2.484,2.795,3.6460000000000004,2.62,3.261,2.56314
sub-CC110045,2.795,2.861,2.957,2.015,3.175,2.967,2.778,3.0439999999999996,2.5789999999999997,2.384,2.84,2.249,2.622,3.286,2.827,2.677,2.792,3.1430000000000002,2.762,1.446,2.483,2.6689999999999996,2.969,2.5639999999999996,3.122,2.585,2.932,2.495,3.1289999999999996,2.94,3.056,3.7960000000000003,2.699,3.0660000000000003,2.76064,1156018.0,1570215.26232,2.9560000000000004,2.69,2.872,1.929,3.76,2.958,2.795,2.925,2.383,2.42,2.807,2.168,2.7319999999999998,3.266,2.8110000000000004,2.66,3.0269999999999997,2.775,2.873,1.3430000000000002,2.43,2.573,2.891,2.597,2.898,2.582,2.9139999999999997,2.4659999999999997,3.125,2.971,3.0260000000000002,2.984,2.8160000000000003,3.219,2.7246
sub-CC110056,2.7039999999999997,2.675,2.7880000000000003,2.259,3.0269999999999997,3.071,2.741,3.045,2.461,2.3480000000000003,2.772,2.312,2.571,3.028,3.036,2.725,2.81,2.697,2.5780000000000003,1.595,2.334,2.614,2.9189999999999996,2.634,3.042,2.404,3.055,2.5180000000000002,3.181,2.867,2.858,3.6210000000000004,2.897,2.9410000000000003,2.72264,1066560.0,1456863.2737,2.963,2.346,2.63,2.006,3.702,3.188,2.812,3.08,2.329,2.48,2.8339999999999996,2.24,2.574,3.178,2.9989999999999997,2.7230000000000003,2.8930000000000002,2.658,2.6710000000000003,1.546,2.2680000000000002,2.596,2.929,2.6210000000000004,2.8819999999999997,2.373,2.955,2.436,3.181,2.886,2.7680000000000002,3.966,2.7089999999999996,3.312,2.73048
sub-CC110062,2.7039999999999997,2.694,2.7119999999999997,2.206,3.214,2.909,2.785,3.009,2.657,2.481,2.782,2.299,2.5,3.136,2.8080000000000003,2.565,2.8339999999999996,2.888,2.765,1.608,2.233,2.696,2.708,2.6460000000000004,2.767,2.6439999999999997,2.87,2.405,3.1239999999999997,2.877,3.2,3.3139999999999996,2.191,3.235,2.7072700000000003,1334503.0,1750164.7766,2.674,2.492,2.5540000000000003,2.349,3.282,3.053,2.843,3.0380000000000003,2.551,2.56,2.608,2.214,2.45,3.0669999999999997,2.952,2.702,2.773,2.785,2.6910000000000003,1.662,2.166,2.697,2.6460000000000004,2.662,2.9810000000000003,2.248,2.872,2.485,3.023,2.883,2.718,2.8110000000000004,2.7119999999999997,3.122,2.67901
sub-CC110069,2.5660000000000003,2.653,2.842,1.821,3.2489999999999997,2.819,2.447,2.742,2.5140000000000002,2.121,2.745,1.965,2.339,2.872,2.8810000000000002,2.4730000000000003,2.661,2.576,2.5860000000000003,1.5590000000000002,2.125,2.505,2.69,2.381,2.785,2.455,2.7039999999999997,2.165,2.886,2.592,2.9219999999999997,3.655,2.57,2.93,2.52219,1120038.0,1548859.23049,2.654,2.614,2.597,1.87,3.9419999999999997,2.82,2.452,2.812,2.398,2.149,2.807,1.949,2.5180000000000002,2.9219999999999997,2.702,2.47,2.639,2.7319999999999998,2.5869999999999997,1.651,2.123,2.262,2.66,2.381,2.803,2.418,2.675,2.1430000000000002,2.985,2.67,3.1460000000000004,3.715,2.7310000000000003,3.1860000000000004,2.52664
sub-CC110087,2.469,2.9419999999999997,2.733,1.8330000000000002,3.44,2.8739999999999997,2.585,2.8710000000000004,2.617,2.153,2.582,2.136,2.292,3.076,2.984,2.532,2.8280000000000003,2.908,2.69,1.3659999999999999,2.281,2.497,2.764,2.637,3.179,2.43,2.985,2.29,2.945,2.76,3.2569999999999997,4.072,2.424,2.989,2.62122,1052375.0,1418121.01142,2.6830000000000003,2.897,2.694,1.767,3.668,2.813,2.595,3.0860000000000003,2.477,2.322,2.7260000000000004,1.9180000000000001,2.826,3.17,2.945,2.7230000000000003,2.781,2.725,2.7880000000000003,1.479,2.224,2.802,2.9139999999999997,2.585,3.0839999999999996,2.485,2.964,2.351,3.123,2.773,3.1,4.0889999999999995,2.955,3.292,2.68474
sub-CC110098,2.7039999999999997,2.503,2.785,1.848,3.4939999999999998,2.925,2.5869999999999997,2.9539999999999997,2.548,2.323,2.5639999999999996,2.02,2.565,3.139,3.01,2.594,2.634,2.7710000000000004,2.5380000000000003,1.624,2.248,2.437,2.742,2.436,2.802,2.383,2.8760000000000003,2.363,3.0580000000000003,2.847,2.475,3.8760000000000003,2.544,3.167,2.61415,1227997.0,1679125.33446,2.7560000000000002,2.583,2.693,1.9269999999999998,3.675,2.943,2.676,2.937,2.3819999999999997,2.387,2.674,2.0980000000000003,2.376,3.089,3.0869999999999997,2.52,2.546,2.6039999999999996,2.577,1.732,2.235,2.477,2.654,2.519,2.884,2.492,2.786,2.417,3.032,2.844,2.71,3.8489999999999998,2.508,3.125,2.61245
sub-CC110101,2.69,2.553,2.374,1.9569999999999999,4.06,2.918,2.61,2.625,2.271,2.384,2.8139999999999996,2.356,2.785,2.7680000000000002,2.753,2.612,2.7119999999999997,2.616,2.57,1.944,2.0909999999999997,2.782,2.4459999999999997,2.553,2.877,2.503,2.853,2.238,2.82,2.43,3.424,3.8560000000000003,2.36,2.998,2.56198,1233649.0,1761148.86602,2.6489999999999996,2.4659999999999997,2.662,1.931,2.407,2.97,2.568,2.8289999999999997,2.306,2.3169999999999997,3.0439999999999996,2.3040000000000003,2.314,3.06,3.2110000000000003,2.471,2.516,3.2089999999999996,2.752,1.7519999999999998,2.105,2.434,2.463,2.51,2.496,2.509,2.755,2.252,3.1460000000000004,2.682,2.134,2.877,2.491,3.153,2.5835
sub-CC110126,2.625,2.8819999999999997,2.83,1.81,3.465,2.878,2.695,2.998,2.445,2.441,2.83,2.1109999999999998,2.521,3.025,3.0239999999999996,2.506,2.909,2.787,2.6910000000000003,1.6840000000000002,2.325,2.6830000000000003,2.612,2.524,2.99,2.6489999999999996,2.8760000000000003,2.426,3.02,2.8160000000000003,2.9389999999999996,3.8789999999999996,2.713,3.199,2.67971,1231682.0,1612610.13139,2.7239999999999998,2.636,2.813,1.9609999999999999,3.635,2.852,2.6489999999999996,2.972,2.373,2.373,2.987,2.2119999999999997,2.685,3.08,3.023,2.57,2.861,2.906,2.83,1.48,2.352,2.715,2.737,2.575,3.0010000000000003,2.568,2.925,2.4330000000000003,3.2310000000000003,2.9019999999999997,2.677,4.1530000000000005,2.7430000000000003,3.221,2.70273
