participant_id,age,sex,site
sub-100004,24,1,hcp
sub-100206,27,1,hcp
sub-100307,27,2,hcp
sub-100408,33,1,hcp
sub-100610,27,1,hcp
sub-101006,35,2,hcp
sub-101107,22,1,hcp
sub-101208,35,2,hcp
sub-101309,29,1,hcp
sub-101410,29,1,hcp
sub-101612,30,2,hcp
sub-101915,35,2,hcp
sub-102008,24,1,hcp
sub-102109,27,1,hcp
sub-102311,26,2,hcp
sub-102513,30,1,hcp
sub-102614,23,1,hcp
sub-102715,26,1,hcp
sub-102816,30,2,hcp
sub-103010,25,1,hcp
sub-103111,30,1,hcp
sub-103212,34,1,hcp
sub-103414,25,2,hcp
sub-103515,28,2,hcp
sub-103818,32,2,hcp
sub-104012,26,2,hcp
sub-104113,26,1,hcp
sub-104416,31,2,hcp
sub-104820,36,2,hcp
sub-105014,29,2,hcp
sub-105115,31,1,hcp
sub-105216,27,1,hcp
sub-105620,34,2,hcp
sub-105923,33,2,hcp
sub-106016,33,2,hcp
sub-106218,28,1,hcp
sub-106319,28,1,hcp
sub-106521,29,2,hcp
sub-106824,22,1,hcp
sub-107018,26,2,hcp
sub-107119,36,1,hcp
sub-107220,26,2,hcp
sub-107321,25,2,hcp
sub-107422,22,1,hcp
sub-107523,23,1,hcp
sub-107725,35,2,hcp
sub-108020,22,1,hcp
sub-108121,27,2,hcp
sub-108222,35,1,hcp
sub-108323,27,2,hcp
sub-108525,23,1,hcp
sub-108828,32,1,hcp
sub-109123,32,1,hcp
sub-109325,31,1,hcp
sub-109830,33,2,hcp
sub-110007,33,2,hcp
sub-110411,31,1,hcp
sub-110613,29,1,hcp
sub-111009,27,2,hcp
sub-111211,28,2,hcp
sub-111312,31,2,hcp
sub-111413,28,2,hcp
sub-111514,32,1,hcp
sub-111716,32,2,hcp
sub-112112,27,1,hcp
sub-112314,30,2,hcp
sub-112516,33,2,hcp
sub-112819,29,2,hcp
sub-112920,31,1,hcp
sub-113215,26,2,hcp
sub-113316,25,1,hcp
sub-113417,30,2,hcp
sub-113619,34,2,hcp
sub-113821,26,2,hcp
sub-113922,32,1,hcp
sub-114116,30,2,hcp
sub-114217,29,2,hcp
sub-114318,22,2,hcp
sub-114419,33,1,hcp
sub-114621,29,1,hcp
sub-114823,33,2,hcp
sub-114924,28,1,hcp
sub-115017,32,2,hcp
sub-115219,33,1,hcp
sub-115320,34,2,hcp
sub-115724,23,2,hcp
sub-115825,23,1,hcp
sub-116120,34,2,hcp
sub-116221,25,1,hcp
sub-116322,35,2,hcp
sub-116423,28,1,hcp
sub-116524,27,1,hcp
sub-116726,26,1,hcp
sub-117021,30,2,hcp
sub-117122,30,2,hcp
sub-117324,24,2,hcp
sub-117728,22,2,hcp
sub-117930,33,2,hcp
sub-118023,26,2,hcp
sub-118124,34,2,hcp
sub-118225,27,1,hcp
sub-118528,29,2,hcp
sub-118730,23,1,hcp
sub-118831,22,1,hcp
sub-118932,26,1,hcp
sub-119025,29,1,hcp
sub-119126,25,2,hcp
sub-119732,33,2,hcp
sub-119833,27,2,hcp
sub-120010,26,2,hcp
sub-120111,28,2,hcp
sub-120212,33,2,hcp
sub-120414,26,2,hcp
sub-120515,26,2,hcp
sub-120717,35,2,hcp
sub-120818,25,1,hcp
sub-121315,29,1,hcp
