participant_id,lh_euler,rh_euler
sub-CC110033,-80,-44
sub-CC110037,-36,-58
sub-CC110045,-64,-40
sub-CC110056,-62,-50
sub-CC110062,-106,-108
sub-CC110069,-48,-54
sub-CC110087,-74,-74
sub-CC110098,-22,-54
sub-CC110101,-200,-144
sub-CC110126,-40,-44
sub-CC110174,-40,-42
sub-CC110182,-52,-66
sub-CC110187,-78,-64
sub-CC110319,-28,-28
sub-CC110411,-64,-72
sub-CC110606,-56,-48
sub-CC112141,-34,-52
sub-CC120008,-46,-40
sub-CC120049,-114,-94
sub-CC120061,-82,-78
sub-CC120065,-48,-88
sub-CC120120,-48,-106
sub-CC120123,-48,-68
sub-CC120166,-38,-44
sub-CC120182,-76,-90
sub-CC120208,-42,-60
sub-CC120218,-34,-56
sub-CC120234,-62,-58
sub-CC120264,-48,-40
sub-CC120276,-36,-28
sub-CC120286,-64,-72
sub-CC120309,-88,-64
sub-CC120313,-46,-62
sub-CC120319,-40,-58
sub-CC120347,-80,-76
sub-CC120376,-42,-28
sub-CC120409,-52,-78
sub-CC120462,-82,-74
sub-CC120469,-72,-62
sub-CC120470,-54,-82
sub-CC120550,-100,-82
sub-CC120640,-50,-40
sub-CC120727,-40,-38
sub-CC120764,-108,-84
sub-CC120795,-98,-70
sub-CC120816,-52,-52
sub-CC120987,-66,-50
sub-CC121106,-72,-50
sub-CC121111,-54,-40
sub-CC121144,-82,-98
sub-CC121158,-40,-34
sub-CC121194,-54,-34
sub-CC121200,-32,-38
sub-CC121317,-28,-42
sub-CC121397,-116,-72
sub-CC121411,-42,-32
sub-CC121428,-44,-102
sub-CC121479,-46,-54
sub-CC121685,-62,-48
sub-CC121795,-94,-96
sub-CC122172,-98,-80
sub-CC122405,-50,-58
sub-CC122620,-32,-44
sub-CC210023,-64,-48
sub-CC210051,-70,-104
sub-CC210088,-80,-84
sub-CC210124,-70,-60
sub-CC210148,-50,-48
sub-CC210172,-60,-78
sub-CC210182,-46,-46
sub-CC210250,-90,-98
sub-CC210304,-34,-40
sub-CC210314,-52,-46
sub-CC210422,-64,-66
sub-CC210519,-58,-66
sub-CC210526,-198,-228
sub-CC210617,-64,-78
sub-CC210657,-46,-54
sub-CC212153,-46,-60
sub-CC220098,-44,-66
sub-CC220107,-28,-40
sub-CC220115,-72,-38
sub-CC220132,-76,-134
sub-CC220151,-36,-42
sub-CC220198,-52,-46
sub-CC220203,-40,-64
sub-CC220223,-46,-56
