participant_id,lh_euler,rh_euler
sub-IXI002,-22,-22
sub-IXI012,-96,-54
sub-IXI013,-110,-160
sub-IXI014,-48,-76
sub-IXI015,-62,-76
sub-IXI016,-104,-96
sub-IXI017,-48,-28
sub-IXI019,-46,-42
sub-IXI020,-42,-52
sub-IXI021,-18,-26
sub-IXI022,-26,-48
sub-IXI023,-46,-34
sub-IXI024,-46,-46
sub-IXI025,-70,-32
sub-IXI026,-50,-34
sub-IXI027,-48,-32
sub-IXI028,-44,-20
sub-IXI029,-102,-98
sub-IXI030,-58,-54
sub-IXI031,-30,-30
sub-IXI033,-96,-68
sub-IXI034,-90,-98
sub-IXI035,-68,-68
sub-IXI036,-26,-56
sub-IXI037,-32,-34
sub-IXI038,-24,-32
sub-IXI039,-116,-114
sub-IXI040,-48,-22
sub-IXI041,-42,-54
sub-IXI042,-34,-44
sub-IXI043,-64,-48
sub-IXI044,-30,-30
sub-IXI045,-12,-40
sub-IXI046,-20,-16
sub-IXI048,-82,-130
sub-IXI049,-50,-64
sub-IXI050,-52,-82
sub-IXI051,-58,-100
sub-IXI052,-96,-104
sub-IXI053,-44,-56
sub-IXI054,-28,-52
sub-IXI055,-38,-50
sub-IXI056,-110,-96
sub-IXI057,-62,-68
sub-IXI058,-46,-44
sub-IXI059,-120,-94
sub-IXI060,-64,-52
sub-IXI061,-22,-20
sub-IXI062,-34,-52
sub-IXI063,-56,-26
sub-IXI064,-36,-48
sub-IXI065,-36,-52
sub-IXI066,-38,-28
sub-IXI067,-80,-98
sub-IXI068,-34,-14
sub-IXI069,-36,-24
sub-IXI070,-62,-48
sub-IXI071,-38,-40
sub-IXI072,-84,-86
sub-IXI073,-16,-24
sub-IXI074,-50,-42
sub-IXI075,-44,-50
sub-IXI076,-26,-26
sub-IXI077,-30,-24
sub-IXI078,-28,-34
sub-IXI079,-94,-96
sub-IXI080,-88,-106
sub-IXI081,-40,-28
sub-IXI083,-90,-82
sub-IXI084,-26,-16
sub-IXI085,-48,-42
sub-IXI086,-66,-28
sub-IXI087,-68,-52
sub-IXI088,-52,-52
sub-IXI089,-26,-28
sub-IXI090,-42,-36
sub-IXI091,-48,-54
sub-IXI092,-82,-100
sub-IXI093,-72,-62
sub-IXI094,-264,-242
sub-IXI095,-76,-114
sub-IXI096,-106,-86
sub-IXI097,-52,-50
sub-IXI098,-54,-50
sub-IXI099,-56,-56
sub-IXI100,-42,-26
sub-IXI101,-52,-40
sub-IXI102,-116,-156
sub-IXI103,-64,-58
sub-IXI104,-122,-100
sub-IXI105,-98,-112
sub-IXI106,-34,-42
sub-IXI107,-38,-50
sub-IXI108,-58,-66
sub-IXI109,-24,-34
sub-IXI110,-24,-30
sub-IXI111,-38,-54
sub-IXI112,-40,-42
sub-IXI113,-36,-46
sub-IXI114,-48,-56
sub-IXI115,-66,-52
sub-IXI117,-54,-54
sub-IXI118,-40,-18
sub-IXI119,-20,-28
sub-IXI120,-34,-32
sub-IXI121,-32,-48
sub-IXI122,-40,-30
sub-IXI123,-28,-32
